Ingredient,Thai name,English name 1,English name 2,English name 3,Scientific name,Color,,,Flavor,,Properties,Nutrition,Benefits,Benefits (Keyword),Cooking Type,frequency,Types,ปล. right now ส่องหมวดกับlist ในลิ้งนี้ https://en.wikipedia.org/wiki/List_of_Thai_ingredients#Insects
Bai bua bok,ใบบัวบก,Centella asiatica,Indian pennywort,,Centella asiatica,The leaves and stems of Bai Bua Bok are a vivid shade of green. This natural color adds an appealing visual contrast to various Thai dishes and contributes to the overall aesthetics of the cuisine.,,,"Water Mimosa offers a unique flavor profile. Its taste is reminiscent of fresh, mild grassiness with subtle hints of nuttiness. This delicate flavor complements a wide range of Thai dishes, adding depth to the overall taste experience.",,"Bai Bua Bok is characterized by its tender and succulent leaves and stems. When cooked, it releases a pleasant and inviting aroma that enhances the sensory appeal of the dish. Its tender texture contributes to the overall mouthfeel of the meal.","Water Mimosa is a nutritional powerhouse. It is particularly rich in dietary fiber, which supports digestive health and contributes to a feeling of fullness. Additionally, Bai Bua Bok provides a good dose of vitamins A and C, essential for immune support and overall well-being. The plant also contains notable amounts of minerals such as calcium and iron, which are vital for bone health and oxygen transport in the body. Furthermore, Bai Bua Bok is low in calories, making it a great choice for those looking to maintain a balanced diet.","Bai Bua Bok is often used not only for its culinary attributes but also for its potential health benefits. It is believed to have cooling properties, making it a popular ingredient for dishes that provide relief from the heat. The dietary fiber content of Water Mimosa may support healthy digestion and regular bowel movements. Additionally, Bai Bua Bok has been utilized in traditional Thai herbal medicine for its potential diuretic and detoxifying effects. These properties highlight its role in promoting overall wellness and vitality.",Culinary and HealthPotential,Fresh,,Leave,
Bai toei,ใบเตย,Pandan,Screwpine leaves,,Pandanus amaryllifolius,"Deep green leaves with a glossy and slightly textured surface. The color is rich and inviting, making it an attractive choice for both culinary and decorative purposes.",,,"The taste of Bai Toei is complex and captivating. It offers a unique blend of flavors, including peppery and slightly bitter notes, coupled with subtle hints of sweetness. This intriguing combination adds depth to dishes and contributes to the distinctiveness of Thai cuisine.",,"The leaves of Bai Toei are relatively sturdy, yet they become more pliable when heated. This property makes them ideal for wrapping and enclosing other ingredients, often used in dishes like ""Miang Kham."" When crushed or torn, the leaves release a pleasing herbal fragrance that enhances the sensory experience.","Bai Toei is not only flavorful but also nutritious. It contains essential vitamins and minerals, including vitamin K, which is vital for blood clotting and bone health. Additionally, it provides a source of dietary fiber, contributing to digestive well-being. While not a significant source of nutrients, its inclusion in various dishes can complement a balanced diet.",Bai Toei has been used for its potential health benefits. It is believed to have properties that aid in digestion and soothe the stomach. The combination of flavors and potential medicinal attributes makes it a popular choice for traditional Thai herbal remedies. Its use in various dishes also adds to the overall enjoyment of meals and cultural practices.,HealthPotential,Infusion,,Leave,
Bai yanang ,ใบย่านาง,Tiliacora triandra,,,Tiliacora triandra,An attractive shade of vibrant green. The leaves are glossy and exhibit a rich color that adds visual appeal to dishes and culinary presentations.,,,"The taste of Bai Yanang is zesty and citrusy, with a pronounced lime-like flavor. It delivers a delightful tanginess that contributes a refreshing and invigorating element to dishes.",,"The leaves of Bai Yanang are tender and delicate, yet they possess a resilient quality that allows them to retain their shape during cooking. When crushed or torn, the leaves release a burst of aromatic citrus fragrance, enhancing the olfactory experience of the dish.","Bai Yanang offers a distinctive flavor along with potential nutritional benefits. It contains compounds that contribute to its citrusy flavor profile and may offer certain health-promoting qualities. While not a primary source of nutrients, its inclusion in dishes adds an extra layer of taste and aroma to meals.","Bai Yanang is valued not only for its flavor but also for its potential health benefits. It is believed to possess digestive properties, aiding in the digestion of rich or heavy meals. The presence of aromatic compounds in the leaves may contribute to its use in Thai herbal medicine, where it is sometimes considered beneficial for its potential calming and soothing effects.",Culinary and HealthPotential,Boiled,,Leave,
Kuichai,กุยช่าย,Garlic Chives,Chinese chives,,Allium tuberosum,"a vibrant and appealing shade of dark green. The slender, elongated leaves and stalks showcase a consistent and rich color that enhances the visual appeal of dishes.",,,"The taste of Kuichai is distinctive and mildly pungent, reminiscent of garlic and onion but milder in intensity. It provides a subtle yet flavorful addition to dishes, contributing a depth of flavor without overpowering other ingredients.",,"The leaves and stalks of Kuichai are crisp and succulent, offering a satisfying crunch when raw. When cooked, they soften while retaining their flavor. Kuichai's ability to hold up well to cooking methods such as stir-frying and steaming makes it a versatile ingredient in various recipes.","Kuichai is not only flavorful but also offers nutritional benefits. It is a source of dietary fiber, which supports digestive health and helps maintain a feeling of fullness. Additionally, it contains vitamins such as vitamin K, which plays a role in blood clotting and bone health, and vitamin A, important for vision and immune function.","Kuichai is associated with potential health benefits. Its mild pungency and aromatic qualities are believed to aid digestion and stimulate the appetite. In traditional Thai medicine, it is sometimes used for its potential diuretic properties. Furthermore, its nutrient content adds to its overall contribution to a balanced and nutritious diet.",HealthPotential,Stir-fried,,Leave,
Horapha,โหระพา,Thai sweet basil,,,Ocimum basilicum var. thyrsiflora,"Vibrant green leaves that are slightly smaller and more delicate than other basil varieties. The color is rich and inviting, adding a pop of freshness to dishes.",,,"The taste of Horapha is both aromatic and peppery, with notes of clove and anise. It delivers a delightful combination of sweet and savory flavors, making it a distinctive and essential component of Thai cuisine.",,"The leaves of Horapha are tender and aromatic, releasing a captivating fragrance when crushed. They are highly aromatic and hold their flavor well when cooked, contributing to the overall aroma of a dish.","Horapha is not only cherished for its taste but also for its potential nutritional contributions. While not a significant source of major nutrients, it provides vitamins like vitamin K and antioxidants that contribute to overall well-being.","Horapha holds cultural and potential health significance. It is used both for its culinary value and its traditional use in Thai herbal medicine. Holy Basil is believed to have antibacterial and anti-inflammatory properties and is often consumed as a tea or in dishes to potentially alleviate mild ailments. Additionally, its aromatic compounds are thought to promote relaxation and mental clarity.",Culinary and HealthPotential,Stir-fried and Fresh,,,
Kha,ข่า,Galangal,,,Alpinia galanga,"A light brown or beige exterior with a firm texture. The color is earthy and natural, with a rough surface that distinguishes it from other root ingredients.",,,"The taste of Kha is bold and distinct, with a unique combination of spicy, citrusy, and slightly peppery flavors. It carries a sharper taste compared to ginger, with a tangy undertone that contributes depth to Thai dishes.",,"The root of Kha is woody and aromatic, emitting a fragrant aroma that is both citrusy and spicy. It is typically used in slices, crushed, or grated forms to infuse its unique flavors into dishes.","Kha is primarily valued for its culinary impact, and while it is not a primary source of significant nutrients, it adds taste and potential health attributes to dishes. Its inclusion is often based on its distinctive flavor rather than its nutritional content.","Kha has been associated with potential health benefits. It is known for its role in traditional Thai medicine, where it is believed to have anti-inflammatory and digestive properties. It is often used as a remedy for ailments such as stomach discomfort and nausea. The aromatic compounds in Kha are also believed to contribute to overall well-being by promoting relaxation and potentially aiding in mental clarity.",Culinary and HealthPotential,Boiled and Infusion,,,
Khamin,ขมิ้น,Turmeric,,,Curcuma longa,"Khamin exhibits a vibrant golden-yellow hue, adding a burst of color to dishes. Its rugged rhizome has a textured exterior that gives way to a strikingly vivid interior.",,,"Khamin boasts a warm and earthy flavor profile with subtle bitter undertones. Its taste is accompanied by hints of peppery notes, contributing depth and complexity to dishes.",,"The firm and dense rhizome of Khamin is commonly grated or ground to infuse dishes with its characteristic color and flavor. It releases a fragrant and earthy aroma when used, enhancing the sensory experience.","Khamin is renowned for its potential health benefits. It contains curcumin, an antioxidant and anti-inflammatory compound that has been studied for its potential wellness attributes. While not a primary source of major nutrients, its inclusion in dishes contributes a touch of color and potential health advantages.","It is believed to possess anti-inflammatory properties and is used to alleviate various ailments. Curcumin, the active compound in Khamin, is associated with potential antioxidant effects, supporting overall well-being. In Thai culture, Khamin is also utilized as a natural dye and is considered symbolically significant.",Culinary and HealthPotential,Boiled and Infusion,,,
Khing ,ขิง,Ginger,,,Zingiber officinale,"A light brown or beige exterior with a rough texture. The root's appearance is earthy and natural, distinguishing it from other root ingredients.",,,"Offering a unique combination of spicy, citrusy, and slightly peppery flavors. It provides a sharper taste compared to ginger, with a tangy undertone that adds depth to Thai dishes.",,"The woody and aromatic root of Khing emits a fragrant aroma that is both citrusy and spicy. It is often used in slices, crushed, or grated forms to infuse its unique flavors into dishes.","It may offer potential health attributes. Although not a significant source of major nutrients, its inclusion in dishes adds taste and potential benefits.","Khing is associated with potential health benefits. It is known for its role in traditional Thai medicine, where it is believed to possess anti-inflammatory and digestive properties. Its aromatic compounds are thought to promote relaxation and potentially aid in mental clarity.",Culinary and HealthPotential,Stir-fried and Boiled,,,
Krachai,กระชาย,Fingerroot,,,Boesenbergia rotunda,"A  light brown, elongated rhizome with a rugged exterior. Its appearance is reminiscent of ginger but with a distinct and knobby texture.",,,"Krachai offers a flavor profile that is both spicy and slightly bitter, with hints of citrus and woodiness. Its taste is unique and contributes complexity to Thai dishes.",,"The rhizome of Krachai has a firm texture and is often sliced, grated, or chopped for culinary use. When used in cooking, it releases a fragrant aroma that combines citrusy and peppery notes.",Krachai is primarily valued for its culinary attributes rather than its nutritional content. It adds a distinct flavor and aromatic qualities to dishes.,Krachai is used both for its flavor and its potential health attributes. It is believed to possess digestive properties and is sometimes used in Thai traditional medicine to address mild digestive discomfort. Its aromatic compounds are thought to contribute to relaxation and mental clarity.,Culinary and HealthPotential,Stir-fried and Boiled,,,
Kaphrao        ,กะเพรา,Holy basil,,,Ocimum sanctum,"Vibrant green leaves that are slightly smaller and more delicate than other basil varieties. The color is rich and inviting, adding a pop of freshness to dishes.",,,"Holy Basil has an aromatic and peppery taste with notes of clove and anise. It offers a unique combination of sweet and savory flavors, making it a distinctive and essential component of Thai cuisine.",,"The tender leaves of Holy Basil release a captivating fragrance when crushed. They are highly aromatic and retain their flavor well when cooked, contributing to the overall aroma of a dish.","While Holy Basil is valued for its taste, its nutritional content primarily contributes to its potential health attributes. It contains vitamins like vitamin K and antioxidants that may offer wellness benefits.","It is used for its culinary value as well as its traditional use in Thai herbal medicine. It is believed to have antibacterial and anti-inflammatory properties and is often consumed in dishes or as a tea to potentially alleviate mild ailments. Additionally, its aromatic compounds are thought to promote relaxation and mental clarity.",Culinary and HealthPotential,Stir-fried and Boiled,,,
